#,Company,Symbol,Weight,Price,Chg,% Chg
247,Garmin,GRMN,0.06%,207.55,4.81,(2.38%)
248,Vulcan Materials Company,VMC,0.06%,292.84,0.0,(0.00%)
249,eBay,EBAY,0.06%,85.35,0.16,(0.19%)
250,Delta Air Lines,DAL,0.06%,58.54,-0.03,(-0.04%)
251,Prudential Financial,PRU,0.06%,107.04,0.03,(0.03%)
252,Martin Marietta Materials,MLM,0.06%,616.77,-0.0,(-0.00%)
253,EQT Corporation,EQT,0.06%,58.97,0.03,(0.05%)
254,Xylem Inc.,XYL,0.06%,151.04,-0.01,(-0.01%)
255,WEC Energy Group,WEC,0.06%,112.31,-0.11,(-0.10%)
256,ResMed,RMD,0.06%,250.1,0.0,(0.00%)
257,Hartford (The),HIG,0.06%,130.86,0.0,(0.00%)
258,Targa Resources,TRGP,0.06%,169.48,0.0,(0.00%)
259,PG&E Corporation,PCG,0.06%,16.55,-0.01,(-0.06%)
260,IQVIA,IQV,0.06%,213.05,0.0,(0.00%)
261,Wabtec,WAB,0.06%,209.99,-0.01,(-0.01%)
262,Sysco,SYY,0.06%,74.58,0.0,(0.00%)
263,Ventas,VTR,0.06%,75.97,0.0,(0.00%)
264,Keurig Dr Pepper,KDP,0.06%,26.11,-0.02,(-0.06%)
265,Consolidated Edison,ED,0.06%,98.24,0.0,(0.00%)
266,Carnival,CCL,0.06%,26.86,-0.03,(-0.11%)
267,Otis Worldwide,OTIS,0.06%,90.26,0.0,(0.00%)
268,Cognizant,CTSH,0.06%,72.48,-0.41,(-0.56%)
269,Hershey Company (The),HSY,0.06%,169.52,0.61,(0.36%)
270,Fiserv,FI,0.06%,63.8,0.0,(0.00%)
271,Kimberly-Clark,KMB,0.06%,102.99,-0.11,(-0.10%)
272,Fidelity National Information Services,FIS,0.06%,65.44,0.0,(0.00%)
273,State Street Corporation,STT,0.05%,119.69,0.0,(0.00%)
274,GE HealthCare,GEHC,0.05%,73.27,-0.21,(-0.29%)
275,Live Nation Entertainment,LYV,0.05%,143.35,0.0,(0.00%)
276,Expedia Group,EXPE,0.05%,268.37,0.33,(0.12%)
277,Nucor,NUE,0.05%,142.68,0.02,(0.01%)
278,Estée Lauder Companies (The),EL,0.05%,90.36,0.73,(0.81%)
279,Arch Capital Group,ACGL,0.05%,89.79,0.0,(0.00%)
280,Vici Properties,VICI,0.05%,30.44,0.01,(0.05%)
281,Kenvue,KVUE,0.05%,16.77,0.0,(0.00%)
282,Raymond James Financial,RJF,0.05%,161.93,0.0,(0.00%)
283,NRG Energy,NRG,0.05%,167.03,0.31,(0.18%)
284,Keysight Technologies,KEYS,0.05%,184.06,0.55,(0.30%)
285,Interactive Brokers Group,IBKR,0.05%,70.86,-0.27,(-0.39%)
286,Hewlett Packard Enterprise,HPE,0.05%,23.89,0.01,(0.02%)
287,Lennar,LEN,0.05%,123.12,-0.09,(-0.07%)
288,United Airlines Holdings,UAL,0.05%,96.25,0.11,(0.11%)
289,Willis Towers Watson,WTW,0.05%,319.68,-1.94,(-0.60%)
290,Ingersoll Rand,IR,0.05%,77.25,0.0,(0.00%)
291,Iron Mountain,IRM,0.05%,102.33,0.0,(0.00%)
